slug,nombre,marca,mililitros,precio_inicial,stock_inicial,nota
"valentino-uomo-born-in-roma-coral-fantasy","Valentino Uomo Born in Roma Coral Fantasy","Valentino",50,0,0,"Presentación referencial y editable por el administrador"
"valentino-uomo-born-in-roma-coral-fantasy","Valentino Uomo Born in Roma Coral Fantasy","Valentino",100,0,0,"Presentación referencial y editable por el administrador"
"valentino-uomo-born-in-roma-green-stravaganza","Valentino Uomo Born in Roma Green Stravaganza","Valentino",50,0,0,"Presentación referencial y editable por el administrador"
"valentino-uomo-born-in-roma-green-stravaganza","Valentino Uomo Born in Roma Green Stravaganza","Valentino",100,0,0,"Presentación referencial y editable por el administrador"
"one-million-parfum","One Million Parfum","Paco Rabanne",50,0,0,"Presentación referencial y editable por el administrador"
"one-million-parfum","One Million Parfum","Paco Rabanne",100,0,0,"Presentación referencial y editable por el administrador"
"one-million-parfum","One Million Parfum","Paco Rabanne",200,0,0,"Presentación referencial y editable por el administrador"
"prada-luna-rossa-ocean-eau-de-toilette","Prada Luna Rossa Ocean Eau de Toilette","Prada",50,0,0,"Presentación referencial y editable por el administrador"
"prada-luna-rossa-ocean-eau-de-toilette","Prada Luna Rossa Ocean Eau de Toilette","Prada",100,0,0,"Presentación referencial y editable por el administrador"
"prada-luna-rossa-ocean-eau-de-toilette","Prada Luna Rossa Ocean Eau de Toilette","Prada",150,0,0,"Presentación referencial y editable por el administrador"
"million-gold","One Million Gold","Paco Rabanne",50,0,0,"Presentación referencial y editable por el administrador"
"million-gold","One Million Gold","Paco Rabanne",100,0,0,"Presentación referencial y editable por el administrador"
"million-gold","One Million Gold","Paco Rabanne",200,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-eau-de-parfum","Acqua di Giò Eau de Parfum","Giorgio Armani",40,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-eau-de-parfum","Acqua di Giò Eau de Parfum","Giorgio Armani",75,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-eau-de-parfum","Acqua di Giò Eau de Parfum","Giorgio Armani",125,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-profondo-parfum","Acqua di Giò Profondo Parfum","Giorgio Armani",30,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-profondo-parfum","Acqua di Giò Profondo Parfum","Giorgio Armani",50,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-profondo-parfum","Acqua di Giò Profondo Parfum","Giorgio Armani",100,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-profondo-eau-de-parfum","Acqua di Giò Profondo Eau de Parfum","Giorgio Armani",30,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-profondo-eau-de-parfum","Acqua di Giò Profondo Eau de Parfum","Giorgio Armani",50,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-profondo-eau-de-parfum","Acqua di Giò Profondo Eau de Parfum","Giorgio Armani",100,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-profondo-eau-de-parfum","Acqua di Giò Profondo Eau de Parfum","Giorgio Armani",200,0,0,"Presentación referencial y editable por el administrador"
"myslf-eau-de-parfum","MYSLF Eau de Parfum","Yves Saint Laurent (YSL)",40,0,0,"Presentación referencial y editable por el administrador"
"myslf-eau-de-parfum","MYSLF Eau de Parfum","Yves Saint Laurent (YSL)",60,0,0,"Presentación referencial y editable por el administrador"
"myslf-eau-de-parfum","MYSLF Eau de Parfum","Yves Saint Laurent (YSL)",100,0,0,"Presentación referencial y editable por el administrador"
"myslf-eau-de-parfum","MYSLF Eau de Parfum","Yves Saint Laurent (YSL)",150,0,0,"Presentación referencial y editable por el administrador"
"the-most-wanted-eau-de-parfum-intense","The Most Wanted Eau de Parfum Intense","Azzaro",50,0,0,"Presentación referencial y editable por el administrador"
"the-most-wanted-eau-de-parfum-intense","The Most Wanted Eau de Parfum Intense","Azzaro",100,0,0,"Presentación referencial y editable por el administrador"
"sauvage-eau-de-toilette","Sauvage Eau de Toilette","Christian Dior",30,0,0,"Presentación referencial y editable por el administrador"
"sauvage-eau-de-toilette","Sauvage Eau de Toilette","Christian Dior",60,0,0,"Presentación referencial y editable por el administrador"
"sauvage-eau-de-toilette","Sauvage Eau de Toilette","Christian Dior",100,0,0,"Presentación referencial y editable por el administrador"
"sauvage-eau-de-toilette","Sauvage Eau de Toilette","Christian Dior",200,0,0,"Presentación referencial y editable por el administrador"
"sauvage-eau-forte","Sauvage Eau Forte","Christian Dior",60,0,0,"Presentación referencial y editable por el administrador"
"sauvage-eau-forte","Sauvage Eau Forte","Christian Dior",100,0,0,"Presentación referencial y editable por el administrador"
"le-male-elixir-absolu","Le Male Elixir Absolu","Jean Paul Gaultier",75,0,0,"Presentación referencial y editable por el administrador"
"le-male-elixir-absolu","Le Male Elixir Absolu","Jean Paul Gaultier",125,0,0,"Presentación referencial y editable por el administrador"
"le-male-elixir-absolu","Le Male Elixir Absolu","Jean Paul Gaultier",200,0,0,"Presentación referencial y editable por el administrador"
"le-male-le-parfum","Le Male Le Parfum","Jean Paul Gaultier",75,0,0,"Presentación referencial y editable por el administrador"
"le-male-le-parfum","Le Male Le Parfum","Jean Paul Gaultier",125,0,0,"Presentación referencial y editable por el administrador"
"le-male-le-parfum","Le Male Le Parfum","Jean Paul Gaultier",200,0,0,"Presentación referencial y editable por el administrador"
"ultra-male","Ultra Male","Jean Paul Gaultier",125,0,0,"Presentación referencial y editable por el administrador"
"ultra-male","Ultra Male","Jean Paul Gaultier",200,0,0,"Presentación referencial y editable por el administrador"
"le-male-eau-de-toilette","Le Male Eau de Toilette","Jean Paul Gaultier",40,0,0,"Presentación referencial y editable por el administrador"
"le-male-eau-de-toilette","Le Male Eau de Toilette","Jean Paul Gaultier",75,0,0,"Presentación referencial y editable por el administrador"
"le-male-eau-de-toilette","Le Male Eau de Toilette","Jean Paul Gaultier",125,0,0,"Presentación referencial y editable por el administrador"
"le-male-eau-de-toilette","Le Male Eau de Toilette","Jean Paul Gaultier",200,0,0,"Presentación referencial y editable por el administrador"
"eros-eau-de-parfum","Eros Eau de Parfum","Versace",50,0,0,"Presentación referencial y editable por el administrador"
"eros-eau-de-parfum","Eros Eau de Parfum","Versace",100,0,0,"Presentación referencial y editable por el administrador"
"eros-eau-de-parfum","Eros Eau de Parfum","Versace",200,0,0,"Presentación referencial y editable por el administrador"
"polo-red-eau-de-parfum","Polo Red Eau de Parfum","Ralph Lauren",40,0,0,"Presentación referencial y editable por el administrador"
"polo-red-eau-de-parfum","Polo Red Eau de Parfum","Ralph Lauren",75,0,0,"Presentación referencial y editable por el administrador"
"polo-red-eau-de-parfum","Polo Red Eau de Parfum","Ralph Lauren",125,0,0,"Presentación referencial y editable por el administrador"
"polo-blue-eau-de-parfum","Polo Blue Eau de Parfum","Ralph Lauren",40,0,0,"Presentación referencial y editable por el administrador"
"polo-blue-eau-de-parfum","Polo Blue Eau de Parfum","Ralph Lauren",75,0,0,"Presentación referencial y editable por el administrador"
"polo-blue-eau-de-parfum","Polo Blue Eau de Parfum","Ralph Lauren",125,0,0,"Presentación referencial y editable por el administrador"
"212-vip-black-eau-de-parfum","212 VIP Black Eau de Parfum","Carolina Herrera",50,0,0,"Presentación referencial y editable por el administrador"
"212-vip-black-eau-de-parfum","212 VIP Black Eau de Parfum","Carolina Herrera",100,0,0,"Presentación referencial y editable por el administrador"
"212-vip-black-eau-de-parfum","212 VIP Black Eau de Parfum","Carolina Herrera",200,0,0,"Presentación referencial y editable por el administrador"
"boss-bottled-eau-de-toilette","Boss Bottled Eau de Toilette","Hugo Boss",30,0,0,"Presentación referencial y editable por el administrador"
"boss-bottled-eau-de-toilette","Boss Bottled Eau de Toilette","Hugo Boss",50,0,0,"Presentación referencial y editable por el administrador"
"boss-bottled-eau-de-toilette","Boss Bottled Eau de Toilette","Hugo Boss",100,0,0,"Presentación referencial y editable por el administrador"
"boss-bottled-eau-de-toilette","Boss Bottled Eau de Toilette","Hugo Boss",200,0,0,"Presentación referencial y editable por el administrador"
"hugo-just-different-eau-de-toilette","Hugo Just Different Eau de Toilette","Hugo Boss",40,0,0,"Presentación referencial y editable por el administrador"
"hugo-just-different-eau-de-toilette","Hugo Just Different Eau de Toilette","Hugo Boss",75,0,0,"Presentación referencial y editable por el administrador"
"hugo-just-different-eau-de-toilette","Hugo Just Different Eau de Toilette","Hugo Boss",125,0,0,"Presentación referencial y editable por el administrador"
"blue-jeans-eau-de-toilette","Blue Jeans Eau de Toilette","Versace",75,0,0,"Presentación referencial y editable por el administrador"
"nautica-voyage-eau-de-toilette","Nautica Voyage Eau de Toilette","Nautica",100,0,0,"Presentación referencial y editable por el administrador"
